epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4914,1.63668,3.78017,3.29614,0.00267,0.30769,0.0175,0.00698,0.98789,4.29095,2.80407,0.0001,0.0001,0.0001
2,36.6278,1.34639,2.98876,2.98716,0.70298,0.15385,0.19902,0.11257,0.81663,3.35119,2.50389,0.000217822,0.000217822,0.000217822
3,54.9573,1.13076,2.16691,2.69292,0.8321,0.23077,0.23627,0.15909,0.74597,2.46841,2.39234,0.000333268,0.000333268,0.000333268
4,73.1879,1.14868,1.70648,2.67008,0.61243,0.30769,0.29216,0.13734,0.78349,2.15523,2.36169,0.000446338,0.000446338,0.000446338
5,92.7323,1.06546,1.3879,2.65454,0.53868,0.38462,0.34836,0.21781,0.76937,1.94915,2.36234,0.000557032,0.000557032,0.000557032
6,112.129,0.92331,1.21101,2.45168,0.97372,0.53846,0.58242,0.51652,0.60176,1.80812,2.36754,0.00066535,0.00066535,0.00066535
7,130.502,1.085,1.23586,2.68846,0.93508,0.92308,0.93038,0.82411,0.55452,2.05376,2.4478,0.000771292,0.000771292,0.000771292
8,147.828,1.04389,1.06295,2.57214,0.94502,0.92308,0.98567,0.85861,0.662,1.92454,2.40806,0.000874858,0.000874858,0.000874858
9,163.722,1.00608,0.99668,2.51158,0.89585,0.92308,0.94561,0.80107,0.68594,1.62848,2.57376,0.000976048,0.000976048,0.000976048
10,178.129,0.9783,0.87534,2.38136,0.94077,0.92308,0.93367,0.77806,0.69402,1.40356,2.35039,0.00107486,0.00107486,0.00107486
11,192.66,1.0318,0.9779,2.65924,0.97571,0.92308,0.92831,0.78439,0.7015,1.18499,2.40657,0.0011713,0.0011713,0.0011713
12,207.392,1.00829,0.84046,2.42601,0.99229,0.92308,0.94478,0.77932,0.65554,1.01019,2.3764,0.00126536,0.00126536,0.00126536
13,222.028,1.00793,0.78684,2.44079,0.9936,0.92308,0.92527,0.76453,0.87179,0.95002,2.30512,0.00135705,0.00135705,0.00135705
14,236.803,1.09269,0.88713,2.40646,0.9898,0.92308,0.9253,0.79892,0.86715,0.8974,2.27947,0.00144636,0.00144636,0.00144636
15,251.3,0.9965,0.7572,2.48094,0.97823,0.92308,0.92514,0.7997,0.71154,0.77539,2.303,0.00153329,0.00153329,0.00153329
16,266.264,0.99942,0.7581,2.61078,0.82758,0.92308,0.89229,0.71458,0.80744,0.98067,2.38814,0.00161785,0.00161785,0.00161785
17,280.919,1.01184,0.67087,2.5005,0.79295,0.92308,0.86314,0.72047,0.6845,0.95695,2.25705,0.0016832,0.0016832,0.0016832
18,295.618,0.99442,0.69573,2.38145,0.91432,0.92308,0.87208,0.72092,0.68341,0.78451,2.07289,0.0016634,0.0016634,0.0016634
19,310.331,1.03707,0.73705,2.43892,0.90436,0.92308,0.92518,0.77522,0.72039,0.91591,2.13944,0.0016436,0.0016436,0.0016436
20,324.974,0.90271,0.6278,2.37384,0.95179,0.92308,0.92523,0.81541,0.69625,0.93188,2.03055,0.0016238,0.0016238,0.0016238
21,339.447,0.93003,0.69382,2.3743,0.94239,0.92308,0.92525,0.78375,0.77011,0.93344,2.15592,0.001604,0.001604,0.001604
22,353.992,0.92133,0.62696,2.30734,0.97123,0.92308,0.92531,0.7711,0.67977,0.82906,2.3236,0.0015842,0.0015842,0.0015842
