epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7138,1.43017,2.99328,2.80875,0.7463,0.25637,0.30463,0.2498,0.56393,2.16805,2.21199,0.0002,0.0002,0.0002
2,48.5418,1.01056,1.71009,2.3989,0.91346,0.6087,0.59711,0.50882,0.70225,1.20387,2.10095,0.000418337,0.000418337,0.000418337
3,56.0762,1.00282,1.38772,2.49592,0.90438,0.91304,0.94683,0.78305,0.68111,1.00889,2.2867,0.000634931,0.000634931,0.000634931
4,62.8988,0.95982,1.07509,2.40372,0.91976,0.91304,0.94001,0.77828,0.76577,0.93752,2.3144,0.000849783,0.000849783,0.000849783
5,69.4045,0.96559,0.96364,2.40044,0.92698,0.86957,0.91603,0.73638,0.79757,1.10044,2.48335,0.00106289,0.00106289,0.00106289
6,77.7309,0.94301,0.80828,2.39683,0.77434,0.89555,0.89305,0.70919,0.77047,0.98355,2.40655,0.00127426,0.00127426,0.00127426
7,86.3133,0.97424,0.81214,2.45047,0.87059,0.91304,0.92189,0.74236,0.77688,1.13638,2.26493,0.00148388,0.00148388,0.00148388
8,95.2472,0.96015,0.74394,2.30145,0.84584,0.71622,0.88268,0.68136,0.90394,1.30976,2.57746,0.00169177,0.00169177,0.00169177
9,103.893,0.9318,0.76196,2.26532,0.90748,0.82609,0.90087,0.66227,1.04331,1.52004,2.72892,0.00189791,0.00189791,0.00189791
10,111.657,0.97367,0.69563,2.3592,0.74775,0.86957,0.91018,0.70136,0.774,1.06133,2.22715,0.00192872,0.00192872,0.00192872
11,119.622,0.90814,0.63513,2.33525,0.90457,0.91304,0.94605,0.79438,0.78885,0.77429,2.41145,0.0019208,0.0019208,0.0019208
12,127.512,0.98913,0.69346,2.3613,0.91567,0.95652,0.9383,0.76108,0.7519,0.80452,2.4665,0.00191288,0.00191288,0.00191288
13,134.99,0.92157,0.60584,2.3649,0.9078,0.85662,0.93794,0.79987,0.73081,0.74901,2.37643,0.00190496,0.00190496,0.00190496
14,142.355,0.924,0.6781,2.43744,0.89374,0.91304,0.92374,0.72792,0.71057,0.97422,2.35592,0.00189704,0.00189704,0.00189704
15,149.743,0.89281,0.59886,2.24288,0.92698,0.91304,0.95891,0.79414,0.6787,0.87135,2.28401,0.00188912,0.00188912,0.00188912
16,157.083,0.89701,0.61942,2.38784,0.89541,0.91304,0.93306,0.7904,0.66337,0.6744,2.38599,0.0018812,0.0018812,0.0018812
17,164.704,0.85295,0.58893,2.38559,0.87423,0.90686,0.9171,0.78278,0.71287,0.6761,2.3428,0.00187328,0.00187328,0.00187328
18,171.409,0.94702,0.59529,2.374,0.88884,0.91304,0.931,0.77791,0.74638,0.55175,2.2729,0.00186536,0.00186536,0.00186536
19,178.747,0.92995,0.64645,2.28173,0.89792,0.91304,0.93579,0.79138,0.77228,0.58118,2.40042,0.00185744,0.00185744,0.00185744
20,189.043,0.89514,0.58867,2.34192,0.90497,0.86957,0.9204,0.78015,0.67848,0.68132,2.3768,0.00184952,0.00184952,0.00184952
